Job Title,Company Name,Location,Salary Estimate,Job Description,Rating,Date Posted
Senior Data Analyst,Innovate Solutions,"San Francisco, CA",$113K-$148K,"Seeking a talented Senior Data Analyst. Proficiency in Git, Kubernetes, R, Azure, Excel is a must.",3.3,2024-03-07
Senior Data Analyst,HealthCare Inc.,"Toronto, ON",$117K-$144K,"Join HealthCare Inc. as a Senior Data Analyst. Key skills required: Power BI, Airflow, R.",4.4,2025-05-11
Business Intelligence Analyst,FinancePlus,"San Francisco, CA",$91K-$113K,"Join FinancePlus as a Business Intelligence Analyst. Key skills required: Docker, Google Cloud, Hadoop, Tableau, Git, Airflow, Statistics, Azure.",4.6,2025-06-15
Machine Learning Engineer,GreenEnergy,"Boston, MA",$120K-$161K,"Join GreenEnergy as a Machine Learning Engineer. Key skills required: Hadoop, Azure, Tableau, Spark.",4.6,2024-01-16
Data Engineer,CyberSecure,"London, UK",$61K-$97K,"Join CyberSecure as a Data Engineer. Key skills required: Power BI, Statistics, Jira, Git.",4.8,2024-04-10
Analytics Consultant,DataWiz,"Austin, TX",$116K-$152K,"Exciting opportunity for a Analytics Consultant at DataWiz. Must have experience in Airflow, Power BI, Machine Learning, Excel, Spark, Git, Statistics.",4.4,2025-02-11
Junior Data Analyst,RetailGiants,Remote,$76K-$91K,"We are looking for a Junior Data Analyst to join our team. You will be working with Kubernetes, Azure, Excel, Jira.",4.3,2025-04-23
Product Analyst,Beta Data,"Austin, TX",$103K-$142K,"Exciting opportunity for a Product Analyst at Beta Data. Must have experience in Python, Docker, SQL, Git, Machine Learning, Power BI.",3.8,2024-08-04
Financial Analyst,RetailGiants,"Atlanta, GA",$80K-$97K,"Seeking a talented Financial Analyst. Proficiency in Docker, Kubernetes, Azure, AWS, Spark is a must.",3.8,2024-12-09
Analytics Consultant,Beta Data,"London, UK",$76K-$87K,"Join Beta Data as a Analytics Consultant. Key skills required: Looker, Machine Learning, Python, SQL, Google Cloud, Statistics, Airflow, Azure.",4.8,2024-03-21
Machine Learning Engineer,TechCorp,"San Francisco, CA",$96K-$117K,"Join TechCorp as a Machine Learning Engineer. Key skills required: Tableau, Azure, Statistics, Google Cloud.",3.8,2024-05-09
Financial Analyst,Gamma Group,"Denver, CO",$59K-$77K,"We are looking for a Financial Analyst to join our team. You will be working with Azure, Snowflake, Python, Machine Learning, Tableau, Docker, Git, Google Cloud.",4.5,2024-09-29
Senior Data Analyst,Gamma Group,"Denver, CO",$68K-$87K,"We are looking for a Senior Data Analyst to join our team. You will be working with Hadoop, AWS, Jira, Spark, SQL, Google Cloud, Excel.",4.3,2025-01-05
Data Analyst,RetailGiants,"Los Angeles, CA",$104K-$129K,"Join RetailGiants as a Data Analyst. Key skills required: AWS, Tableau, Git, Excel, Jira.",3.9,2024-08-20
Junior Data Analyst,EduTech,"Atlanta, GA",$76K-$92K,"Join EduTech as a Junior Data Analyst. Key skills required: Statistics, Docker, Python, Spark, Google Cloud.",3.8,2025-08-20
Data Analyst,Delta Dynamics,"Bangalore, IN",$85K-$95K,"Delta Dynamics is hiring a Data Analyst. You should know Kubernetes, Docker, Tableau.",4.3,2024-03-12
Marketing Analyst,TechCorp,"Berlin, DE",$99K-$113K,"We are looking for a Marketing Analyst to join our team. You will be working with AWS, R, Excel, Git, Google Cloud.",3.6,2025-04-02
Data Analyst,Gamma Group,"Berlin, DE",$120K-$130K,"Exciting opportunity for a Data Analyst at Gamma Group. Must have experience in Google Cloud, R, Airflow.",3.4,2025-07-04
Machine Learning Engineer,Delta Dynamics,"San Francisco, CA",$68K-$79K,"Join Delta Dynamics as a Machine Learning Engineer. Key skills required: AWS, R, SQL, Statistics, Airflow, Snowflake.",3.8,2024-11-01
Business Intelligence Analyst,Gamma Group,"Seattle, WA",$95K-$128K,"Exciting opportunity for a Business Intelligence Analyst at Gamma Group. Must have experience in Spark, Hadoop, Jira, Tableau, Azure, Statistics, Python.",4.8,2025-10-18
BI Developer,Gamma Group,"Bangalore, IN",$103K-$115K,"Join Gamma Group as a BI Developer. Key skills required: Airflow, Power BI, Python, Tableau, Docker.",4.9,2024-05-25
Data Scientist,Gamma Group,"Boston, MA",$79K-$112K,"We are looking for a Data Scientist to join our team. You will be working with Airflow, Git, R, Google Cloud, Looker, Jira, SQL, Hadoop.",3.3,2025-03-14
Product Analyst,CyberSecure,Remote,$62K-$107K,"We are looking for a Product Analyst to join our team. You will be working with Azure, Looker, AWS, Git, Machine Learning, Hadoop.",4.9,2024-04-02
Financial Analyst,CyberSecure,"Denver, CO",$118K-$135K,"Exciting opportunity for a Financial Analyst at CyberSecure. Must have experience in Power BI, Excel, Kubernetes, AWS.",4.3,2024-03-12
Data Analyst,CloudSystems,"Chicago, IL",$77K-$95K,"Join CloudSystems as a Data Analyst. Key skills required: SQL, Jira, R, Git.",3.6,2024-04-15
BI Developer,Beta Data,"Toronto, ON",$120K-$143K,"We are looking for a BI Developer to join our team. You will be working with AWS, Google Cloud, Spark, R, Looker, Python.",4.6,2024-12-31
Data Analyst,GreenEnergy,"Denver, CO",$84K-$102K,"GreenEnergy is hiring a Data Analyst. You should know Google Cloud, Airflow, Hadoop, Kubernetes, R, Git, Spark.",4.3,2025-03-28
Data Scientist,GreenEnergy,"San Francisco, CA",$116K-$154K,"Exciting opportunity for a Data Scientist at GreenEnergy. Must have experience in AWS, Python, Azure, Airflow, Google Cloud, Docker.",3.5,2025-02-15
Machine Learning Engineer,GreenEnergy,"Berlin, DE",$58K-$108K,"Exciting opportunity for a Machine Learning Engineer at GreenEnergy. Must have experience in Statistics, AWS, Excel, Airflow, Snowflake, Kubernetes.",4.3,2025-04-29
Junior Data Analyst,Gamma Group,"New York, NY",$111K-$139K,"Join Gamma Group as a Junior Data Analyst. Key skills required: Looker, Power BI, R.",3.1,2025-12-18
Analytics Consultant,Beta Data,Remote,$110K-$124K,"Seeking a talented Analytics Consultant. Proficiency in SQL, Git, Machine Learning, Snowflake, Python, Jira, Azure, Airflow is a must.",3.3,2025-04-24
Data Engineer,HealthCare Inc.,"San Francisco, CA",$94K-$108K,"We are looking for a Data Engineer to join our team. You will be working with AWS, Hadoop, Git, SQL.",3.1,2024-06-09
Analytics Consultant,Beta Data,"New York, NY",$61K-$77K,"Seeking a talented Analytics Consultant. Proficiency in Machine Learning, R, Python, Google Cloud, Azure, Git is a must.",4.8,2025-07-31
Senior Data Analyst,Delta Dynamics,"Chicago, IL",$60K-$76K,"Delta Dynamics is hiring a Senior Data Analyst. You should know SQL, Snowflake, Git, Docker, Machine Learning, Statistics, Azure.",4.6,2024-01-28
Data Engineer,DataWiz,"Denver, CO",$107K-$128K,"Join DataWiz as a Data Engineer. Key skills required: Spark, Docker, Statistics, Excel, SQL.",4.5,2024-01-10
Data Scientist,CyberSecure,"Boston, MA",$100K-$124K,"CyberSecure is hiring a Data Scientist. You should know Azure, Statistics, Kubernetes, Looker, R, Hadoop.",3.4,2024-11-13
Machine Learning Engineer,Innovate Solutions,"London, UK",$71K-$116K,"Seeking a talented Machine Learning Engineer. Proficiency in Google Cloud, Snowflake, SQL, Statistics, R is a must.",4.2,2024-11-07
Analytics Consultant,Beta Data,"Chicago, IL",$71K-$112K,"Beta Data is hiring a Analytics Consultant. You should know Azure, Git, Spark, Looker.",4.6,2025-02-28
Data Analyst,Gamma Group,"Austin, TX",$116K-$126K,"Seeking a talented Data Analyst. Proficiency in Power BI, R, Airflow, Spark, Hadoop, AWS, Docker, Azure is a must.",4.8,2025-11-20
Financial Analyst,HealthCare Inc.,"Bangalore, IN",$70K-$120K,"We are looking for a Financial Analyst to join our team. You will be working with R, SQL, Airflow, Docker, Machine Learning, Git, Hadoop.",4.3,2024-08-27
Financial Analyst,RetailGiants,Remote,$95K-$142K,"Exciting opportunity for a Financial Analyst at RetailGiants. Must have experience in Google Cloud, Looker, Docker.",3.7,2025-01-02
BI Developer,TechCorp,"Austin, TX",$82K-$103K,"Join TechCorp as a BI Developer. Key skills required: Hadoop, Kubernetes, Power BI, Google Cloud, Spark, Tableau, Git, Machine Learning.",4.1,2025-03-26
Data Scientist,Beta Data,"Austin, TX",$84K-$128K,"Join Beta Data as a Data Scientist. Key skills required: Jira, Docker, SQL, Machine Learning, Hadoop, Spark, Azure.",3.4,2025-04-11
Analytics Consultant,Delta Dynamics,"Boston, MA",$86K-$118K,"We are looking for a Analytics Consultant to join our team. You will be working with Tableau, Jira, AWS, Python, Spark, Power BI, Git, Looker.",4.9,2025-10-19
BI Developer,HealthCare Inc.,"San Francisco, CA",$67K-$98K,"Exciting opportunity for a BI Developer at HealthCare Inc.. Must have experience in Statistics, Tableau, Machine Learning, Snowflake, Kubernetes, Git.",3.4,2024-04-29
Senior Data Analyst,Delta Dynamics,"Boston, MA",$120K-$154K,"Seeking a talented Senior Data Analyst. Proficiency in Power BI, AWS, Excel, Looker, Hadoop is a must.",4.3,2024-12-18
Product Analyst,Gamma Group,"London, UK",$119K-$133K,"Seeking a talented Product Analyst. Proficiency in Jira, Tableau, Azure, Power BI, Kubernetes, Looker, AWS is a must.",4.9,2025-07-24
Analytics Consultant,RetailGiants,"London, UK",$105K-$138K,"Join RetailGiants as a Analytics Consultant. Key skills required: Hadoop, Airflow, R, Looker, Excel, Tableau, Azure, Docker.",4.7,2025-04-11
Data Engineer,HealthCare Inc.,"New York, NY",$115K-$132K,"Exciting opportunity for a Data Engineer at HealthCare Inc.. Must have experience in Power BI, Airflow, Snowflake.",3.8,2025-02-06
Financial Analyst,CloudSystems,"Denver, CO",$82K-$108K,"Exciting opportunity for a Financial Analyst at CloudSystems. Must have experience in SQL, Excel, R.",3.9,2025-11-05
Financial Analyst,DataWiz,"Bangalore, IN",$109K-$121K,"We are looking for a Financial Analyst to join our team. You will be working with Kubernetes, R, Git, Google Cloud, Python.",4.1,2024-12-21
Machine Learning Engineer,GreenEnergy,"Denver, CO",$118K-$133K,"Exciting opportunity for a Machine Learning Engineer at GreenEnergy. Must have experience in Hadoop, Python, Machine Learning, Tableau.",4.2,2024-08-16
Analytics Consultant,HealthCare Inc.,"Toronto, ON",$60K-$84K,"Join HealthCare Inc. as a Analytics Consultant. Key skills required: Docker, Snowflake, Spark, Looker, Kubernetes, Azure, Statistics.",3.7,2025-06-22
Data Engineer,Innovate Solutions,"Bangalore, IN",$52K-$83K,"Join Innovate Solutions as a Data Engineer. Key skills required: Power BI, Tableau, Git, R, AWS, Looker, Airflow, Statistics.",3.6,2025-07-04
Financial Analyst,FinancePlus,"Seattle, WA",$56K-$89K,"Join FinancePlus as a Financial Analyst. Key skills required: Docker, Power BI, R.",4.3,2024-07-13
Analytics Consultant,HealthCare Inc.,Remote,$114K-$162K,"Join HealthCare Inc. as a Analytics Consultant. Key skills required: SQL, Google Cloud, Docker, Tableau, Power BI, Excel, Kubernetes, Snowflake.",4.2,2025-12-27
BI Developer,Beta Data,"Toronto, ON",$63K-$73K,"Exciting opportunity for a BI Developer at Beta Data. Must have experience in Airflow, Docker, Looker.",3.5,2024-12-24
BI Developer,GreenEnergy,Remote,$91K-$123K,"Seeking a talented BI Developer. Proficiency in Google Cloud, Kubernetes, Airflow, Statistics is a must.",3.4,2024-01-15
Data Analyst,CyberSecure,"Toronto, ON",$88K-$113K,"We are looking for a Data Analyst to join our team. You will be working with SQL, Looker, Python, Power BI, Tableau, R, Git.",4.9,2025-10-29
Marketing Analyst,TechCorp,"Atlanta, GA",$70K-$109K,"Exciting opportunity for a Marketing Analyst at TechCorp. Must have experience in Tableau, Python, Spark, Jira, AWS, Google Cloud, Git, Hadoop.",3.5,2025-02-20
Marketing Analyst,Delta Dynamics,"Los Angeles, CA",$82K-$130K,"Join Delta Dynamics as a Marketing Analyst. Key skills required: Google Cloud, R, Python, Kubernetes, Spark, Statistics, Jira.",4.1,2024-10-23
Senior Data Analyst,Delta Dynamics,"Denver, CO",$68K-$94K,"Delta Dynamics is hiring a Senior Data Analyst. You should know Power BI, Git, Hadoop, Machine Learning, SQL, R.",4.4,2024-10-08
Data Scientist,FinancePlus,"Seattle, WA",$85K-$131K,"Join FinancePlus as a Data Scientist. Key skills required: SQL, Python, Kubernetes, Excel, Git.",3.9,2025-06-04
Senior Data Analyst,Innovate Solutions,"Seattle, WA",$63K-$86K,"Join Innovate Solutions as a Senior Data Analyst. Key skills required: Hadoop, Docker, Statistics, Jira.",4.3,2024-04-03
Financial Analyst,RetailGiants,"Berlin, DE",$106K-$151K,"Join RetailGiants as a Financial Analyst. Key skills required: Tableau, Google Cloud, Docker, Machine Learning.",3.7,2025-02-06
BI Developer,Gamma Group,"Berlin, DE",$119K-$155K,"We are looking for a BI Developer to join our team. You will be working with Docker, Google Cloud, Jira, AWS.",4.6,2025-02-09
BI Developer,CyberSecure,"Seattle, WA",$90K-$106K,"We are looking for a BI Developer to join our team. You will be working with SQL, Azure, Power BI, Spark, Excel, Tableau, R, Airflow.",3.3,2024-09-28
Financial Analyst,FinancePlus,Remote,$104K-$148K,"Exciting opportunity for a Financial Analyst at FinancePlus. Must have experience in Hadoop, SQL, Spark, Machine Learning, Python.",3.4,2024-03-23
BI Developer,Beta Data,"Denver, CO",$64K-$87K,"We are looking for a BI Developer to join our team. You will be working with Jira, Spark, Statistics, Excel, AWS.",3.0,2024-02-06
Data Engineer,RetailGiants,"Atlanta, GA",$93K-$116K,"RetailGiants is hiring a Data Engineer. You should know Kubernetes, Statistics, Excel.",4.3,2024-02-16
Data Engineer,RetailGiants,"Los Angeles, CA",$100K-$132K,"Exciting opportunity for a Data Engineer at RetailGiants. Must have experience in Machine Learning, Spark, Kubernetes, SQL, Snowflake.",4.8,2025-12-11
Data Engineer,FinancePlus,"Denver, CO",$101K-$127K,"Exciting opportunity for a Data Engineer at FinancePlus. Must have experience in Tableau, Power BI, Statistics, R, Looker, Snowflake, Google Cloud, AWS.",4.0,2024-03-06
Business Intelligence Analyst,Gamma Group,"New York, NY",$72K-$84K,"Join Gamma Group as a Business Intelligence Analyst. Key skills required: Jira, R, Spark, Git, Hadoop.",3.5,2025-05-03
Machine Learning Engineer,Beta Data,"Los Angeles, CA",$68K-$108K,"Seeking a talented Machine Learning Engineer. Proficiency in Snowflake, Tableau, AWS, R, Statistics, Airflow is a must.",4.2,2025-09-12
Machine Learning Engineer,Beta Data,"Atlanta, GA",$104K-$137K,"Exciting opportunity for a Machine Learning Engineer at Beta Data. Must have experience in Machine Learning, Hadoop, Azure, Tableau, Spark, Jira, Google Cloud.",3.2,2024-01-24
Machine Learning Engineer,DataWiz,"San Francisco, CA",$119K-$158K,"Seeking a talented Machine Learning Engineer. Proficiency in Hadoop, Excel, SQL, AWS, Airflow, Kubernetes, Jira is a must.",4.3,2025-06-05
Marketing Analyst,HealthCare Inc.,"Seattle, WA",$105K-$124K,"Seeking a talented Marketing Analyst. Proficiency in Docker, R, Jira, Python is a must.",3.1,2025-05-12
Marketing Analyst,CloudSystems,"London, UK",$110K-$158K,"Seeking a talented Marketing Analyst. Proficiency in Docker, SQL, Airflow, Excel, Hadoop is a must.",4.0,2025-06-04
Machine Learning Engineer,CloudSystems,"London, UK",$93K-$138K,"Exciting opportunity for a Machine Learning Engineer at CloudSystems. Must have experience in Excel, Looker, Statistics, Git.",3.7,2025-03-28
Senior Data Analyst,HealthCare Inc.,"Denver, CO",$58K-$82K,"HealthCare Inc. is hiring a Senior Data Analyst. You should know SQL, Statistics, Python, Hadoop, Kubernetes, Jira, Airflow.",4.9,2024-04-13
Senior Data Analyst,Delta Dynamics,"Chicago, IL",$78K-$105K,"Seeking a talented Senior Data Analyst. Proficiency in Docker, Git, Machine Learning, SQL, Excel, Tableau, Snowflake is a must.",4.1,2025-09-25
Data Analyst,CyberSecure,"San Francisco, CA",$112K-$146K,"Seeking a talented Data Analyst. Proficiency in Machine Learning, Hadoop, Tableau, Snowflake, Statistics is a must.",3.0,2024-01-02
Senior Data Analyst,Beta Data,"Bangalore, IN",$81K-$116K,"Exciting opportunity for a Senior Data Analyst at Beta Data. Must have experience in Power BI, Azure, Statistics, Snowflake, Tableau, Kubernetes, Airflow, Google Cloud.",3.3,2025-05-09
Senior Data Analyst,CyberSecure,"London, UK",$90K-$123K,"CyberSecure is hiring a Senior Data Analyst. You should know Looker, Jira, Spark, R, AWS.",4.8,2025-11-27
Analytics Consultant,Delta Dynamics,"Boston, MA",$63K-$88K,"Delta Dynamics is hiring a Analytics Consultant. You should know Git, Spark, Jira, Python, Docker, R, Statistics.",3.9,2025-07-27
Data Engineer,RetailGiants,"Denver, CO",$98K-$141K,"RetailGiants is hiring a Data Engineer. You should know Azure, Jira, Power BI, R.",3.4,2025-04-22
Senior Data Analyst,Alpha Analytics,"Atlanta, GA",$57K-$80K,"We are looking for a Senior Data Analyst to join our team. You will be working with Jira, Tableau, Python, Git, SQL, Excel, Snowflake, Spark.",4.7,2025-07-22
Junior Data Analyst,Alpha Analytics,"Bangalore, IN",$93K-$112K,"Alpha Analytics is hiring a Junior Data Analyst. You should know Looker, Tableau, Spark, Kubernetes.",3.5,2025-11-28
Financial Analyst,Gamma Group,"Bangalore, IN",$92K-$116K,"Join Gamma Group as a Financial Analyst. Key skills required: SQL, Spark, Python, Snowflake, Tableau.",5.0,2024-02-13
Data Analyst,DataWiz,"Toronto, ON",$117K-$146K,"DataWiz is hiring a Data Analyst. You should know Power BI, Airflow, Statistics, Google Cloud, Azure, Spark.",3.9,2025-03-24
BI Developer,Gamma Group,"Toronto, ON",$79K-$98K,"Gamma Group is hiring a BI Developer. You should know Tableau, Hadoop, Python.",3.4,2024-07-12
Junior Data Analyst,Innovate Solutions,"Bangalore, IN",$105K-$137K,"Exciting opportunity for a Junior Data Analyst at Innovate Solutions. Must have experience in Jira, Hadoop, Statistics, Airflow, Excel, Docker, Power BI.",3.4,2024-09-04
Junior Data Analyst,Beta Data,Remote,$77K-$110K,"Seeking a talented Junior Data Analyst. Proficiency in Power BI, Excel, Airflow, Docker, Git, Kubernetes, Google Cloud is a must.",5.0,2025-12-23
Business Intelligence Analyst,Delta Dynamics,"Chicago, IL",$103K-$130K,"Seeking a talented Business Intelligence Analyst. Proficiency in Snowflake, Looker, Azure, Excel, Hadoop, Spark, AWS is a must.",3.9,2025-05-15
Analytics Consultant,Gamma Group,"Austin, TX",$50K-$61K,"Seeking a talented Analytics Consultant. Proficiency in Machine Learning, Spark, Statistics, Airflow, SQL, Excel, Snowflake, Hadoop is a must.",4.4,2025-06-30
Analytics Consultant,DataWiz,"Atlanta, GA",$105K-$118K,"Exciting opportunity for a Analytics Consultant at DataWiz. Must have experience in SQL, R, Excel, Looker, Power BI, Tableau, Hadoop.",3.6,2025-09-29
Data Engineer,HealthCare Inc.,"London, UK",$99K-$112K,"HealthCare Inc. is hiring a Data Engineer. You should know Python, R, Jira.",4.4,2024-11-25
Marketing Analyst,EduTech,"San Francisco, CA",$98K-$114K,"We are looking for a Marketing Analyst to join our team. You will be working with Tableau, Snowflake, Spark, R, Hadoop, Azure, Airflow.",4.0,2024-03-16
Marketing Analyst,Delta Dynamics,"Bangalore, IN",$96K-$108K,"We are looking for a Marketing Analyst to join our team. You will be working with Tableau, Azure, Excel.",4.2,2024-04-23
Analytics Consultant,HealthCare Inc.,"Toronto, ON",$109K-$152K,"Seeking a talented Analytics Consultant. Proficiency in Python, R, Machine Learning, Google Cloud, Hadoop, SQL, Tableau is a must.",4.1,2025-01-17
Senior Data Analyst,Gamma Group,"Austin, TX",$107K-$122K,"Join Gamma Group as a Senior Data Analyst. Key skills required: R, Kubernetes, Spark, AWS.",3.5,2024-09-03
Product Analyst,DataWiz,"Seattle, WA",$97K-$120K,"Seeking a talented Product Analyst. Proficiency in Excel, Looker, Git, AWS, Kubernetes, Machine Learning, Snowflake is a must.",3.1,2024-03-03
Junior Data Analyst,DataWiz,"Los Angeles, CA",$89K-$132K,"DataWiz is hiring a Junior Data Analyst. You should know AWS, Kubernetes, Excel, R.",4.0,2025-10-09
Data Engineer,EduTech,"San Francisco, CA",$57K-$99K,"Exciting opportunity for a Data Engineer at EduTech. Must have experience in Statistics, Azure, Snowflake, Docker, Jira.",4.3,2025-08-10
BI Developer,RetailGiants,"Austin, TX",$108K-$127K,"Seeking a talented BI Developer. Proficiency in Spark, Statistics, Power BI is a must.",4.1,2025-08-27
BI Developer,Innovate Solutions,"Berlin, DE",$117K-$145K,"Seeking a talented BI Developer. Proficiency in Excel, Jira, Python, SQL, R, Power BI, Looker is a must.",4.7,2024-07-27
Analytics Consultant,Delta Dynamics,Remote,$63K-$87K,"Exciting opportunity for a Analytics Consultant at Delta Dynamics. Must have experience in Statistics, Kubernetes, Hadoop, R, SQL, Google Cloud, Docker.",3.8,2024-08-11
Senior Data Analyst,HealthCare Inc.,"Bangalore, IN",$85K-$110K,"Join HealthCare Inc. as a Senior Data Analyst. Key skills required: Kubernetes, Looker, Jira, AWS, Machine Learning, Python, Excel.",4.3,2024-01-09
Marketing Analyst,Gamma Group,"Austin, TX",$110K-$120K,"Exciting opportunity for a Marketing Analyst at Gamma Group. Must have experience in Hadoop, Power BI, Statistics, Kubernetes.",3.8,2024-08-06
Data Analyst,CloudSystems,Remote,$53K-$87K,"Join CloudSystems as a Data Analyst. Key skills required: Python, Spark, Excel, Git, AWS.",4.2,2025-05-21
Senior Data Analyst,HealthCare Inc.,"Bangalore, IN",$96K-$130K,"We are looking for a Senior Data Analyst to join our team. You will be working with Python, Tableau, Kubernetes, Airflow, Excel, Looker.",3.7,2025-05-20
Machine Learning Engineer,TechCorp,"Boston, MA",$118K-$132K,"We are looking for a Machine Learning Engineer to join our team. You will be working with Machine Learning, Tableau, Hadoop.",4.7,2025-08-02
Data Scientist,Delta Dynamics,"Seattle, WA",$78K-$112K,"Join Delta Dynamics as a Data Scientist. Key skills required: Azure, Machine Learning, Python, Excel, Tableau.",4.5,2025-02-01
Analytics Consultant,EduTech,"Denver, CO",$60K-$103K,"We are looking for a Analytics Consultant to join our team. You will be working with Machine Learning, Google Cloud, Git, Power BI, Docker, Jira.",3.9,2025-08-10
Business Intelligence Analyst,FinancePlus,"Los Angeles, CA",$109K-$156K,"Exciting opportunity for a Business Intelligence Analyst at FinancePlus. Must have experience in Python, AWS, Jira, Excel, Tableau, SQL, Git.",4.6,2024-07-22
Marketing Analyst,DataWiz,"Chicago, IL",$64K-$78K,"Exciting opportunity for a Marketing Analyst at DataWiz. Must have experience in AWS, Kubernetes, Jira, Git.",3.4,2025-07-04
Product Analyst,Alpha Analytics,"Toronto, ON",$64K-$79K,"We are looking for a Product Analyst to join our team. You will be working with Power BI, Snowflake, Google Cloud.",3.1,2024-03-28
BI Developer,Alpha Analytics,"London, UK",$98K-$138K,"Exciting opportunity for a BI Developer at Alpha Analytics. Must have experience in Looker, Git, Spark, Statistics.",3.6,2025-07-31
Business Intelligence Analyst,Alpha Analytics,"Los Angeles, CA",$73K-$108K,"Alpha Analytics is hiring a Business Intelligence Analyst. You should know Google Cloud, Machine Learning, Power BI, Git, Snowflake.",4.3,2025-12-03
Marketing Analyst,Alpha Analytics,"Berlin, DE",$69K-$91K,"We are looking for a Marketing Analyst to join our team. You will be working with Power BI, Python, Spark, Snowflake, Azure, Git.",4.1,2025-01-07
Machine Learning Engineer,RetailGiants,"London, UK",$52K-$63K,"We are looking for a Machine Learning Engineer to join our team. You will be working with Airflow, Machine Learning, Tableau, Spark, Jira, AWS, Azure, Looker.",4.7,2024-09-06
Product Analyst,FinancePlus,"Atlanta, GA",$94K-$121K,"Seeking a talented Product Analyst. Proficiency in Tableau, Hadoop, Looker, Azure, Kubernetes is a must.",5.0,2025-04-08
Financial Analyst,TechCorp,"Seattle, WA",$104K-$145K,"We are looking for a Financial Analyst to join our team. You will be working with SQL, Kubernetes, Docker, Git, Azure, Google Cloud.",3.9,2024-07-28
Senior Data Analyst,GreenEnergy,"Denver, CO",$63K-$112K,"Seeking a talented Senior Data Analyst. Proficiency in Power BI, Airflow, SQL is a must.",4.7,2024-04-29
Analytics Consultant,Gamma Group,"Seattle, WA",$97K-$137K,"Join Gamma Group as a Analytics Consultant. Key skills required: Git, Looker, Power BI, Google Cloud, Airflow, Docker, Snowflake.",4.3,2025-06-30
Junior Data Analyst,HealthCare Inc.,"Denver, CO",$89K-$114K,"Join HealthCare Inc. as a Junior Data Analyst. Key skills required: AWS, Excel, Jira, Tableau, Google Cloud, R, Snowflake.",3.6,2025-10-09
Data Engineer,Alpha Analytics,"London, UK",$75K-$114K,"Join Alpha Analytics as a Data Engineer. Key skills required: Spark, Hadoop, Airflow, Statistics, Machine Learning, Snowflake.",4.3,2025-08-26
Analytics Consultant,CloudSystems,"Seattle, WA",$50K-$68K,"CloudSystems is hiring a Analytics Consultant. You should know Power BI, Statistics, Kubernetes, Looker.",4.4,2024-10-22
Financial Analyst,DataWiz,"Boston, MA",$83K-$94K,"Seeking a talented Financial Analyst. Proficiency in Excel, Git, Tableau, Airflow, Looker, Hadoop, Spark, R is a must.",4.0,2024-04-29
Data Analyst,HealthCare Inc.,"Seattle, WA",$120K-$145K,"Join HealthCare Inc. as a Data Analyst. Key skills required: Snowflake, Hadoop, AWS.",3.4,2024-11-25
